,Tot_Spndng_2017,Tot_Spndng_2018,Tot_Spndng_2019,Tot_Spndng_2020,Tot_Spndng_2021
0,,,,,
1,0.0,0.0,733.42,426.96,331.69
2,0.0,126.11,751.8649999999998,374.7349999999999,292.725
3,0.0,252.22,770.3099999999997,322.5099999999999,253.76000000000002
4,203.165,232.95999999999998,424.8349999999997,230.4999999999999,180.10500000000002
5,406.33,213.69999999999993,79.35999999999973,138.4899999999999,106.45000000000002
6,203.165,106.84999999999994,84.97499999999974,171.3399999999999,86.74500000000003
7,0.0,0.0,90.58999999999975,204.18999999999988,67.04000000000005
8,11158.915,10223.875,1106.9899999999996,16222.875000000002,183.74000000000004
9,22317.83,20447.75,2123.3899999999994,32241.56,300.44000000000005
10,38082.705,159484.72,182351.64999999997,21721.775,6132.240000000001
11,53847.58,298521.69,362579.91,11201.99,11964.040000000003
12,2454889.98,1649508.67,1404469.8599999999,866545.98,708468.27
13,2427966.19,1521779.04,1312535.2899999998,927629.5599999999,756695.94
14,231904.11499999976,171392.8550000002,309239.50499999966,199513.57999999996,144329.0149999999
15,231904.11499999976,199112.22000000023,328140.94499999966,231729.97999999992,190377.6749999999
16,957373.0149999999,441947.9450000002,382651.72499999974,269067.4099999999,251489.8899999999
17,1652005.39,875843.7200000002,743285.6499999998,552595.7399999999,456937.8949999999
18,1238689.06,886907.0250000001,531288.6749999998,392363.9949999998,306667.34499999986
19,13934212.6,4145183.5900000003,2409860.98,1604743.7449999999,1169272.79
20,14102899.575,4487110.635000001,2753386.79,1857592.635,1573126.635
21,712743.6600000001,745687.7150000008,753779.3399999999,480239.04000000004,444299.93999999994
22,1412548.87,789435.3200000006,834419.2299999999,649204.8999999999,273307.73999999993
23,2258187.7,1720610.4950000006,1143012.29,687187.2649999999,676595.8699999999
24,5822021.72,1769932.2350000008,808508.9550000001,283856.39499999984,444844.1499999999
25,10419224.555,1275124.7100000007,450671.42500000005,427382.7499999998,47415.98999999993
26,7408389.05,1480314.8450000007,969171.065,691673.0499999999,69305.34999999993
27,3931094.7700000005,2087894.3900000006,1341119.86,585417.74,47920.549999999945
28,2220794.6850000005,1253852.7250000006,785090.1150000001,367925.35,139275.07999999993
29,510494.6000000003,419811.06000000064,229060.37,150432.95999999996,230629.60999999993
30,134843998.85999998,180922047.725,231416111.855,263045969.33,295701808.295
31,269177503.11999995,361424284.39,462603163.34,525941505.7,591172986.9800001
32,134588751.55999994,180712142.195,231313028.24499997,263032241.93499997,295621404.3650001
33,0.0,0.0,22893.149999976158,122978.16999998689,69821.75000011921
34,290889038.8399999,227284259.575,110919041.71999997,9802011.739999985,6935734.545000119
35,581778077.6799998,454568519.15,221815190.28999996,19481045.309999984,13801647.340000119
36,290889038.83999985,227932057.03999996,124951098.58999996,21381949.384999983,25113700.255000122
37,0.0,854119.8249999881,17177379.189999968,12965521.919999985,23130571.46000012
38,0.0,206322.3599999881,3133875.7449999675,1324095.1899999846,5202662.490000118
39,0.0,0.0,0.0,0.0,707422.6050001178
40,0.0,162829.69499998813,4926922.229999968,2072710.2249999847,495169.33000011777
41,0.0,162829.69499998813,5398403.094999968,2600882.409999985,3022819.6200001175
42,0.0,0.0,471480.8649999676,557626.9999999846,3000628.6900001178
43,0.0,0.0,114069.85499996762,491709.5899999846,99582.34500011802
44,0.0,0.0,164123.91999996762,477025.61999998457,59274.405000118015
45,0.0,278645.4099999881,5154767.739999967,2263748.719999985,1094956.930000118
46,0.0,278645.4099999881,5104713.674999966,2809879.0449999846,1387138.840000118
47,0.0,0.0,242387.00999996625,4931720.569999985,8260730.725000118
48,0.0,0.0,242387.00999996625,4400089.6499999855,8068002.830000118
49,28765049.12499988,26918873.379999988,31898251.389999967,33739461.359999985,33703334.08500012
50,57530098.24999988,53837746.75999999,63796502.77999997,67420382.21999998,67187329.20000012
51,33704196.02499988,31352886.479999993,35711437.354999974,37745185.41499999,35661991.02000012
52,9878293.799999878,8868026.199999992,7626371.929999977,8069988.609999992,4136652.840000123
53,4939146.899999877,4434013.099999992,3813185.9649999775,4528499.914999992,3589527.705000123
54,0.0,0.0,0.0,987011.2199999918,3042402.570000123
55,2927947.764999877,2546368.2099999925,3159952.429999978,4489097.7549999915,6485010.740000123
56,3167282.309999877,3342853.9299999923,4223605.974999977,5030667.204999992,6250945.280000123
57,2009556.6299998765,2284346.0949999923,3046894.3149999767,3594566.6449999916,4465260.500000123
58,2153792.5449998765,1520327.259999992,2009424.2749999766,2571282.9099999918,3191490.2350001223
59,916459.0699998764,260841.31999999215,112136.81999997655,399765.004999992,489677.3950001225
60,534820.6749998764,229555.22999999215,86874.60999997654,389234.17499999196,485183.3950001225
61,468526.58999987645,197561.10499999212,68421.49499997654,71786.03499999194,132819.05500012246
62,933189.0499998765,392760.61999999214,135000.39999997654,141051.07999999193,247894.99000012246
63,1462452.1199998767,955217.3849999921,900772.6449999765,802357.9999999919,921015.3400001224
64,1189209.194999877,870685.189999992,907155.2849999765,746225.8049999918,799927.2200001224
65,288631.35999987694,148086.71999999206,279423.4999999766,328049.4499999918,377468.71500012255
66,552821.2099998769,412232.34999999206,359176.0999999766,434948.35499999183,488048.4350001225
67,699674.639999877,608051.2599999921,552513.2549999765,402995.2199999918,416651.14500012255
68,249684.78499987692,234756.60999999207,400213.50499997643,282490.7599999918,306160.0350001225
69,47751.81499987695,16482.279999992053,12319.854999976407,8243.604999991832,7716.060000122525
70,80400.43999987695,27566.36999999205,21968.32999997641,14911.62999999183,9536.150000122525
